product_name,nutri_score_label,ELECTRE_Pessimistic_07,ELECTRE_Optimistic_07
Pain de mie grandes tranches Seigle & Graines 500g,A,C,E
14 Maxi Tranches complet sans sucres ajoutés,B,C,E
pain de mie grandes tranches spécial sandwich complet,B,C,D
Harrys brioche tressee nature au sucre perle sans additifs 500g,C,B,C
100% mie complet 500g,B,C,E
Biscottes 6 Céréales,D,C,D
Pain grillé au blé complet,D,C,C
Classic Torinesi Breadsticks,D,C,E
Pain de mie grandes tranches Toastiligne complet,A,C,D
Wholemeal Bread,A,C,D
6 Wraps blé complet,C,C,D
Seeded Batch,B,C,C
Pain de mie american sandwich complet sans sucres ajoutés 600g,B,C,D
Tasty Wholemeal Medium,A,C,C
50/50 Medium Bread,A,C,C
Grilletines blé complet,C,B,E
Harrys beau & bon pain de mie farine de ble cereales & graines 320g,B,C,E
Ryvita Multigrain Crispbread,A,C,D
Italian Original Breadsticks,D,C,D
Tartines de Pain Blé Complet,C,C,E
Pain AMS complet,B,C,E
Heudebert Fibre +,C,B,E
Pain de mie complet,C,C,D
Tartines céréales 450g,B,C,D
Pain de mie grandes tranches Toastiligne céréales & graines 500g,B,C,E
Soft White Medium Bread,C,C,D
Pain de mie grandes tranches 7 cereales,B,C,D
Wraps,C,C,D
NYC BAGEL Sesame,A,C,E
Biscottes sans sel et sans sucre ajoutés,A,D,D
Pain de mie american sandwich rustique sans sucres ajoutés 500g,A,C,E
Biscottes,C,C,D
La Biscotte 96% de céréales,D,B,D
Extra moelleux nature,C,C,E
Maxi Tranches Sans sucre ajouté Nature,C,C,D
Grilletine Sans sucres ajoutés Blé complet,C,C,E
Cinnamon & Raisin Bagels,C,D,E
Farmhouse Soft Bread,C,C,D
"Maestro Cereale avec du Levain, Millet et Quinoa",B,C,D
Beau & bon pain de mie complet lin tournesol 320g,A,C,D
Pain de mie grandes tranches Avoine & Graines 500g,A,C,D
Maestro Classic,A,C,C
Biscottes Pleine vie Sans sel ajouté,C,C,D
Penne Rigate N°73,A,C,D
Barilla Penne Rigate Fullkorn 500g,A,C,E
Chicken Flavour,C,B,C
Pâtes spaghetti au blé complet integral 500g,A,C,C
Lasagne all'uovo,A,C,D
Tortellini ricotta & épinards,C,C,D
Pâtes spaghetti n°5 1kg,A,C,D
Spaghetti Senza Glutine,B,C,E
SHIN RAMYUN NOODLE,E,B,C
Le Ravioli pur boeuf,C,C,D
Penne Rigate Senza Glutine,B,C,E
Spaghetti n° 12,A,C,D
WHOLEWHEAT FUSILLI,A,D,D
Capellini (Spagetti) Nr. 1,A,C,E
Penne Rigate,A,C,D
GIRASOLI RICOTTA EPINARD,D,C,D
Spinach Ricotta Tortelloni,B,C,D
Lasagne,A,C,D
Fusilli n°34,A,C,D
YumYum Beef,C,C,C
Ramen soja caramel,B,C,C
mushroom & mascarpone tortelloni,C,C,D
Girandole Torsades N° 34,A,C,D
Pâtes spaghettoni n°7 500g,A,C,C
Soba classic,D,B,C
Panzani spaghetti 500g,A,C,D
Demae Ramen - Chicken,C,B,C
Linguine- Pâtes alimentaires de semoule et de blé dur 500G,A,C,D
Penne Rigate Nudeln,A,C,C
coquillette,A,C,D
"Soupe Thai  (Nouilles, champignons et pousses de soja)  د تای سوپ",C,B,D
Ravioli boeuf,C,B,D
Fusilli Blé complet,A,C,E
Linguine n° 7,A,C,D
473396 LTAPES POT moodle CHICKEN & MUSHROOM FLAVOU,C,B,D
Torsades au blé complet,A,C,C
Couacous Dari,A,D,D
Duck Flavour,C,B,C
Tagliatelles aux œufs frais,A,C,C
Penne Rigate N°66,A,C,D
Poulet🐔 au Curry et Noix de Coco 🥥,C,B,C
Couscous Oriental légumes cuisinés et poulet émincé,B,C,D
Cuisiné cappelletti,A,D,D
Le couscous à la marocaine,B,C,D
Brandade de Morue parmentière 2 personnes,C,B,D
"Risotto poulet & cèpes, crème fraîche, petits oignons",C,C,D
Penne au Poulet et au Pesto,C,B,D
St Jacques fondue de poireaux & Riz Basmati,C,C,D
Emincés de boeuf sauce poivre & pommes de terre,C,C,D
Le Filet de Poulet et ses Pommes de Terre à la Sarladaise,B,B,D
Paëlla royale aux petites gambas et au safran,B,B,D
"Tagliatelles au Poulet 🐔, Champignons🍄Crème",B,B,D
Aiguillettes de poulet au miel et aux épices semoule,A,B,D
Quinoa poulet et sésame,A,B,D
"Escalope Milanaise, Dinde 100% filet",B,C,C
Pastabox Carbonara,C,C,C
Poulet & Purée de Courgettes pointe de crème fraîche,C,B,C
Poulet et petites pâtes sauce aux champignons,B,B,D
Le Kebab de Poulet et sa Semoule à l'Orientale,C,B,C
"Lasagnes saumon, epinard",C,B,D
Émincés de poulet conchiglie complètes et légumes à l'italienne,A,C,D
Tagliatelles à la carbonara,C,C,C
Saumon sauce oseille & son riz pilaf,C,B,D
Gratin de Choux-Fleurs au Jambon & à l'emmental,C,C,D
Buddha Bowl Pâtes au basilic,A,D,E
Tagliatelles au Poulet sauce Pesto,C,B,D
"Émincés de poulet, tagliatelles complètes et légumes façon wok",A,C,D
Ravioli chèvre et ciboulette,B,C,D
Parmentier de canard confit,D,A,D
Risotto au poulet et aux cèpes,C,C,D
Saucisse de Toulouse aux Lentilles cuisinées,C,C,D
Saumon et tagliatelles sauce à l'oseille Plat de la mer d'aucy 300g,B,B,D
"Lasagnes Légumes Grillés, Mozzarella",B,C,C
Colin d'Alaska à la bordelaise et riz aux légumes,C,A,D
"POULET BASQUAISE, RIZ ET COURGETTES WW 300G",B,B,D
La Paëlla de la Mer,B,C,D
Couscous,B,C,D
Risotto au saumon & épinards à la crème,B,C,D
Le Saumon à l'oseille et son riz basmati,B,B,D
"Spicy tomato, lentil and red pepper soup",B,C,E
Knorr Soupe Déshydratée Forestière Champignons & Oignons 3 Portions,C,A,D
Lentil Dhal Soup,A,D,E
Mouliné de 12 légumes,C,D,E
Cream of Tomato Soup,A,C,E
Cream of Mushroom  Soup,B,B,D
Gazpacho l'original,A,C,E
Gratinée oignons et croûtons,C,C,D
Knorr Soupe Déshydratée Douceur de 9 Légumes 3 Portions,C,C,D
Knorr Soupe Déshydratée Douceur d'Asperges 3 Portions,C,B,D
Velouté tomates,C,C,D
Nouilles de blé instantanées saveur poulet,C,C,C
Soba Cup Noodles &quot;Teriyaki&quot;,D,B,C
Bouillon volaille &vermicelles,C,D,D
Velouté de potiron,B,C,E
Délice de potiron châtaigne,C,D,E
Alvalle Gazpacho vert 1 L,A,D,E
Soupe à la chinoise,C,D,E
Mian Tiao saveur boeuf - 85 g - Tien Shan,C,C,C
Gazpacho salmorejo,B,C,E
Knorr Soupe Liquide Mouliné de Légumes Variés 1L,C,C,E
Knorr Soupe Liquide Potiron Pointe de Muscade 450ml,C,C,E
Spiced Lentil & Tomato Soup,B,D,D
Velouté de Legumes du Soleil,B,D,E
Légumes  et vermicelles,C,D,E
Velouté lentilles corail,A,E,E
Creamy Tomato & Basil soup,C,C,E
Potiron et Kiri,C,C,E
Gazpacho brique 1l,A,C,E
minestrone with croutons,B,D,D
Pesto alla Genovese,E,B,B
Tomato Ketchup,D,B,E
Real Mayonnaise,E,A,B
Pesto Rosso,E,B,B
Maille Moutarde Fine de Dijon L'Originale Bocal 360g,E,C,D
Amora Moutarde Forte Bocal 430g,E,C,D
HP Sauce Original imp,E,B,D
Majoneesi,D,B,B
Tomato Ketchup 910g,D,B,D
Pesto Classic Basil,E,B,C
Pesto con Basilico e Rucola,E,B,C
Salsa de Soja,E,D,E
AMORA Ketchup Flacon Souple 550g,D,B,D
Panzani - spf - sauce pesto vert 200g,E,B,C
Tiptree tomato ketchup,C,B,E
Heinz Baked Beans,B,D,E
Organic Houmous,B,C,D
"Ketchup zéro sel ajouré, 70% moins de sucres",A,B,E
SO organic Mayonnaise,E,A,C
Amora Spécialité à la moutarde de Dijon aux épices et aromates Savora Bocal 385g,E,B,C
Custard powder,B,B,D
Sauce Tomate concentrée cuisinée aux petits légumes,D,D,D
Classic Barbecue - Smokey & Rich,D,B,C
Pastasaus m/Basilikum,C,B,E
Classic pesto,E,B,B
Maille Mayonnaise,D,B,B
Tesco Houmous,B,C,E
Tomato ketchup 50% less sugar and salt,C,B,E
Moutarde de Dijon,E,C,C
PREMIUM SOY SAUCE,E,C,D
Ketchup,D,B,E
Classic Houmous,B,C,E
Mayonnaise Classique à l'huile de colza,D,A,B
Vinaigrette Légère Huile de Sésame & Sauce Soja Graines de Sésame Torréfiées 36 cl,D,B,B
MAILLE Mayonnaise Fins Gourmets Bocal 320g,E,B,B
Prince Goût Chocolat,E,B,B
Excellence Noir Prodigieux 90% Cacao,E,A,A
Sésame,C,C,C
Chocolat noir - 85% cacao,D,B,B
Organic 70% Dark Chocolate Bar,E,B,B
Biscuits croquants au coeur onctueux de Nutella®,E,B,B
Excellence Noir Intense 70% Cacao,E,A,A
Dark chocolate,D,C,C
Excellence Noir Puissant 85% Cacao,E,A,A
Fourrés Chocolat Noir,D,C,C
Tuc Original,E,B,C
70% chocolate,E,A,A
Pomme 🍏 🍎 Noisette🥜,B,D,D
Excellence 85% Cacao Rich Dark,D,A,B
Nutella,E,A,A
Figue & son,B,C,D
Bitter Extra Kraftig,E,A,A
Nestlé Dessert,E,B,B
Pains au lait x10,C,C,D
Chocolat au lait,E,A,A
Brioche Tranchée Bio 400g,C,C,C
Bio Chocolat Noir 70%,E,B,B
Fruit & Nut Mix,D,B,D
La gâche tranchée,E,B,B
Excellence Noir Subtil Doux 70% Cacao,E,A,A
Granola L'Original,E,B,B
Cracotte Céréales Complètes,C,C,C
Kinder Bueno,E,A,A
Pringles Sare,D,C,D
Cracotte,D,C,D
Biscuits goût chocolat,E,A,A
digestives,E,B,B
Figolu,E,B,B
Sour Cream & Onion,D,C,C
Biscuit lait chocolat,D,C,D
Crunchy Avoine & Chocolat Noir x 5 x 2 barres de 21 g,D,B,B
Cookie🍪 cacao pépites Sans Sucre,B,C,C
Biscuit soja orange,C,C,C
petit déjeuner miel et pépites de chocolat,D,B,D
Sablés Anglais L'Original,E,B,B
P'tit Nature Complet,C,C,C
Excellence Noir Corsé 78% Cacao,E,A,A
Картофельные чипсы со вкусом парики,D,C,C
Pringles Original,D,C,C
Bonbon à la Sève de Pin,E,A,C
300G DRAGIBUS SOFT HARIBO,E,B,D
230G VICHY MENTHE,E,A,B
Chamallow,E,B,D
220G TAGADA DOYPACK HARIBO,E,B,D
50G RICOLA CITRON MELISSE,B,C,E
Croco,D,B,D
50G RICOLA FRAMBOISE MELISSE,B,C,E
"Tagada, L'originale",E,B,D
Mentos fruit,E,A,B
600G HAPPY BOX HARIBO,E,B,D
Lutti guimauve chocolat,E,B,D
Schtroumpfs,D,B,D
БОНБОНИ МЕРСИ,E,B,B
300G DRAGÖLO HARIBO,E,B,D
Starmix,D,B,D
250G BUBBLIZZ LUTTI,E,B,D
Bonbons Tic Tac x110 pastilles MENTHE - 54g,E,A,B
TIC TAC Fresh Mint,E,A,B
50G RICOLA MENTHOL,B,C,C
Bonbons à l'eucalyptus,E,B,B
Werthers Original Drops Sukkerfri 42g,D,B,E
Natural Original Liquorice 4 Bars,C,B,B
Orange Menthe,B,C,D
Schweizer Kräuterbonbon,E,A,B
Haribo pik,D,B,D
200G STARMINT HARIBO,E,B,B
Lutti best fizz tubo 550g,E,B,C
Lindor Lait,E,B,B
38G SKITTLES SACHET,E,A,A
Rotella,E,B,B
50G RICOLA CASSIS,B,C,C
Bonbons aux plantes,B,C,D
Mao Croqui,C,B,B
Haribo dragolo,E,B,D
300G POLKA HARIBO,E,B,C
Bonbons Ricola aux Plantes,B,B,C
Citron Mélisse,B,C,C
Panda Liquorice,E,B,C
Arlequin Original,E,B,B
Mentos mint,E,A,B
Gom's,D,B,D
Goldbären,D,B,C
Carré Frais,B,C,D
Carré frais 0 pourcent ail et fines herbes,A,B,E
Yorkshire Cottage Cheese Natural,C,B,D
faisselle,B,B,B
Bresaola delle alpi,E,A,D
Egeturk Kipsalami,E,A,C
Bresaola della valtellina IGP,E,A,D
4 brochettes de bœuf + 4 brochettes de porc,B,A,B
Premium Fruit & Nut Muesli,C,C,D
Bio Knusper Müsli Früchte,C,D,D
Compote Pomme Nature,A,C,E
Datteln,D,C,D
Ananas. Stücke,A,C,E
Emotion,D,C,D
Pomme,A,C,E
Sift Figs,D,C,E
Fraise,D,C,D
Canneberges sucrées séchées,D,A,D
Olives vertes dénoyautées,D,B,E
Dattes Deglet Nour,C,C,D
Tropical Fruits Granola,C,B,D
Pommes Myrtille SSA,A,C,E
TK - Beerenmischung,A,C,D
Avocados,A,C,D
Marmelade - Fruchtaufstrich Erdbeere,D,B,D
Bananes,A,D,E
2 Avocats mûrs à point,A,C,D
Pomme vanille,A,C,E
Tesco Green Seedless Grapes (Crisp & Juicy),A,C,E
Dattes Deglet Nour de Tunisie,D,B,D
Cerise Noire,D,A,D
Dattes,D,B,C
Datteln entsteint / Dates pitted,D,B,B
Dattes séchées dénoyautées,C,B,C
Medjool Dates,C,B,D
Purée de Pomme Poire Williams SSA,A,D,E
Abricots secs dénoyautés,D,B,C
Ananas Scheiben,A,B,E
Aprikosen,D,B,C
Dattes denoyautées moelleuses,D,B,D
Dattes Deglet Nour Branchées,C,B,D
Abricots moelleux,C,C,D
Marmelade Feige,D,C,E
Brioche tranchée,E,B,B
Blanc de Poulet,B,A,E
HERTA Blanc Poulet Nature conservation sans nitrite x4 -140g,B,A,D
Rôti de Poulet - 100% filet,D,A,D
Aiguillettes de Poulet Rôti,B,A,D
Lightly Salted Corn Cakes,C,B,C
Panés de poulet x2,C,B,D
Filet de poulet rôti,B,A,D
Emincés de Poulet - Rôtis au Four,D,A,D
Blanc de Poulet  - 25% de sel*,A,A,D
Blanc de Poulet - Rôti à la Broche,B,A,D
Cordons bleus de poulet,E,B,D
Blanc de Poulet Nature Sans Nitrite,B,A,E
Blanc de Poulet - Doré au Four,A,B,E
Nuggets de poulet bio,C,B,D
Chicken Dippers,C,B,C
Nuggets de poulet panés,A,B,D
Piratki Filet z Kurczaka,C,A,D
Émincé de poulet rôti,B,B,D
Blanc de poulet 100% filet,B,A,E
Coq ailes Nature 250g,B,B,C
Crousti Tenders aiguillettes,B,B,C
Filets de poulet,A,B,D
Blanc de poulet -25% sel,A,A,D
2 Panés façon milanaise,C,B,D
Frankfurt original,D,A,C
Nuggets de poulet 100% filet,A,C,C
Bâtonnets de poulet panés,B,B,C
Blanc de poulet -25 % de sel x 4 tranches,A,A,E
Tendre poulet,B,A,D
Filet de poulet x 2,A,B,D
Cordon bleu de poulet,D,A,C
FILET TRANCHE DE POULET CURRY - 4 tr.,B,A,D
Aiguillettes de poulet saveur citron surgelées,A,B,D
Sunca din piept de pui,D,A,D
Blanc de poulet sup dore au four 4tr 160g - france,B,A,D
Aiguillettes de poulet,A,B,D
